"","hsa.let.7b.3p","hsa.let.7b.5p","hsa.let.7d.3p","hsa.let.7d.5p","hsa.let.7f.5p","hsa.let.7g.3p","hsa.let.7i.5p","hsa.miR.1","hsa.miR.100.5p","hsa.miR.101.3p","hsa.miR.103a.3p","hsa.miR.106a.5p","hsa.miR.107","hsa.miR.1183","hsa.miR.122.5p","hsa.miR.125a.3p","hsa.miR.125a.5p","hsa.miR.125b.5p","hsa.miR.1260a","hsa.miR.126.3p","hsa.miR.126.5p","hsa.miR.127.3p","hsa.miR.128.3p","hsa.miR.130a.3p","hsa.miR.132.3p","hsa.miR.134.5p","hsa.miR.135a.5p","hsa.miR.139.5p","hsa.miR.140.3p","hsa.miR.141.3p","hsa.miR.142.3p","hsa.miR.142.5p","hsa.miR.143.3p","hsa.miR.144.3p","hsa.miR.144.5p","hsa.miR.145.5p","hsa.miR.146a.5p","hsa.miR.148a.3p","hsa.miR.148b.3p","hsa.miR.150.5p","hsa.miR.151a.5p","hsa.miR.152.3p","hsa.miR.155.5p","hsa.miR.15a.5p","hsa.miR.15b.3p","hsa.miR.15b.5p","hsa.miR.16.2.3p","hsa.miR.16.5p","hsa.miR.17.3p","hsa.miR.181a.5p","hsa.miR.181c.5p","hsa.miR.182.5p","hsa.miR.183.5p","hsa.miR.185.5p","hsa.miR.186.5p","hsa.miR.18a.5p","hsa.miR.18b.5p","hsa.miR.190a.5p","hsa.miR.191.5p","hsa.miR.192.5p","hsa.miR.195.5p","hsa.miR.197.3p","hsa.miR.199a.3p","hsa.miR.199a.5p","hsa.miR.199b.5p","hsa.miR.19a.3p","hsa.miR.19b.3p","hsa.miR.200a.3p","hsa.miR.200c.3p","hsa.miR.204.5p","hsa.miR.205.5p","hsa.miR.20a.3p","hsa.miR.20a.5p","hsa.miR.210.3p","hsa.miR.2110","hsa.miR.214.3p","hsa.miR.21.5p","hsa.miR.218.5p","hsa.miR.221.3p","hsa.miR.222.3p","hsa.miR.223.3p","hsa.miR.223.5p","hsa.miR.22.3p","hsa.miR.22.5p","hsa.miR.23a.3p","hsa.miR.23b.3p","hsa.miR.24.3p","hsa.miR.25.3p","hsa.miR.26a.5p","hsa.miR.26b.5p","hsa.miR.27a.3p","hsa.miR.27b.3p","hsa.miR.28.3p","hsa.miR.28.5p","hsa.miR.29a.3p","hsa.miR.29b.3p","hsa.miR.29c.3p","hsa.miR.301a.3p","hsa.miR.30a.5p","hsa.miR.30c.5p","hsa.miR.30d.5p","hsa.miR.31.5p","hsa.miR.320a","hsa.miR.320b","hsa.miR.324.3p","hsa.miR.324.5p","hsa.miR.32.5p","hsa.miR.326","hsa.miR.329.3p","hsa.miR.330.3p","hsa.miR.331.3p","hsa.miR.335.5p","hsa.miR.338.3p","hsa.miR.339.3p","hsa.miR.33a.5p","hsa.miR.342.3p","hsa.miR.34a.5p","hsa.miR.361.3p","hsa.miR.361.5p","hsa.miR.365a.3p","hsa.miR.374b.5p","hsa.miR.375","hsa.miR.376a.3p","hsa.miR.376a.5p","hsa.miR.376c.3p","hsa.miR.382.5p","hsa.miR.409.3p","hsa.miR.410.3p","hsa.miR.423.3p","hsa.miR.423.5p","hsa.miR.424.5p","hsa.miR.425.3p","hsa.miR.425.5p","hsa.miR.451a","hsa.miR.452.5p","hsa.miR.484","hsa.miR.485.3p","hsa.miR.486.3p","hsa.miR.491.5p","hsa.miR.495.3p","hsa.miR.497.5p","hsa.miR.500a.5p","hsa.miR.501.5p","hsa.miR.509.3p","hsa.miR.532.5p","hsa.miR.542.5p","hsa.miR.574.3p","hsa.miR.584.5p","hsa.miR.590.5p","hsa.miR.624.5p","hsa.miR.629.5p","hsa.miR.632","hsa.miR.652.3p","hsa.miR.744.5p","hsa.miR.7.5p","hsa.miR.92a.3p","hsa.miR.93.3p","hsa.miR.93.5p","hsa.miR.99a.5p","hsa.miR.99b.5p"
"940641-H09",-2.97876712328767,3.42123287671233,2.02123287671233,-0.778767123287668,1.22123287671233,NA,2.72123287671233,NA,-2.77876712328767,4.32123287671233,3.72123287671233,5.42123287671233,0.721232876712328,NA,0.521232876712329,NA,-0.578767123287673,1.22123287671233,-1.67876712328767,4.72123287671233,0.521232876712329,-1.17876712328767,-3.27876712328767,-1.47876712328767,-1.17876712328767,-2.37876712328767,-4.47876712328767,-4.97876712328767,3.22123287671233,-5.17876712328767,4.82123287671233,-0.0787671232876725,-0.0787671232876725,4.52123287671233,0.12123287671233,0.221232876712328,1.72123287671233,-3.37876712328767,1.92123287671233,3.52123287671233,1.72123287671233,-0.978767123287671,-3.07876712328767,4.42123287671233,0.62123287671233,1.32123287671233,0.62123287671233,9.62123287671233,-2.27876712328767,1.22123287671233,NA,-2.57876712328767,-0.978767123287671,5.82123287671233,-5.37876712328767,1.92123287671233,2.12123287671233,NA,1.62123287671233,0.921232876712327,-1.87876712328767,0.32123287671233,0.521232876712329,-1.47876712328767,NA,5.32123287671233,6.92123287671233,NA,-2.77876712328767,-3.67876712328767,NA,-3.47876712328767,6.32123287671233,-0.17876712328767,-3.07876712328767,-5.27876712328767,6.22123287671233,NA,2.82123287671233,2.32123287671233,7.32123287671233,-3.27876712328767,0.62123287671233,NA,5.22123287671233,0.62123287671233,4.62123287671233,5.42123287671233,1.32123287671233,0.721232876712328,2.52123287671233,2.12123287671233,-1.57876712328767,-1.47876712328767,0.32123287671233,-0.0787671232876725,0.32123287671233,-0.37876712328767,-1.97876712328767,0.82123287671233,3.12123287671233,NA,3.82123287671233,1.52123287671233,0.62123287671233,-0.87876712328767,-0.778767123287668,-4.17876712328767,-2.37876712328767,-2.77876712328767,-0.478767123287671,-3.37876712328767,-1.37876712328767,-0.978767123287671,-3.77876712328767,-3.47876712328767,-4.17876712328767,-3.97876712328767,0.721232876712328,-1.87876712328767,-0.978767123287671,-2.27876712328767,0.32123287671233,-3.37876712328767,-0.0787671232876725,-1.47876712328767,0.221232876712328,-3.67876712328767,0.721232876712328,1.12123287671233,-1.97876712328767,-1.37876712328767,0.921232876712327,10.7212328767123,-4.67876712328767,2.22123287671233,-2.07876712328767,-3.57876712328767,-3.67876712328767,-2.77876712328767,-2.97876712328767,-4.27876712328767,-4.47876712328767,NA,-0.0787671232876725,NA,-1.87876712328767,-2.37876712328767,0.82123287671233,-2.17876712328767,-1.07876712328767,NA,0.921232876712327,-5.27876712328767,-1.47876712328767,5.92123287671233,-0.478767123287671,4.92123287671233,-1.57876712328767,-2.57876712328767
"954465-H05",-3.62847682119205,2.57152317880795,2.07152317880795,0.371523178807948,2.77152317880795,-3.22847682119205,2.37152317880795,-4.12847682119205,NA,3.97152317880795,4.67152317880795,4.97152317880795,1.97152317880795,NA,2.37152317880795,-4.02847682119205,1.17152317880795,-0.728476821192054,-0.728476821192054,5.27152317880795,1.07152317880795,NA,-1.42847682119205,-0.828476821192055,-1.62847682119205,-4.12847682119205,-4.22847682119205,-3.02847682119205,2.67152317880795,-3.22847682119205,6.17152317880795,0.171523178807949,0.0715231788079471,3.67152317880795,0.771523178807946,0.471523178807949,2.67152317880795,-2.92847682119205,2.37152317880795,4.17152317880795,2.97152317880795,0.671523178807949,-2.32847682119206,4.37152317880795,-0.428476821192049,1.67152317880795,-0.728476821192054,9.07152317880795,-2.32847682119206,2.37152317880795,NA,-3.32847682119206,-4.92847682119205,5.27152317880795,-1.82847682119206,1.87152317880795,2.07152317880795,-4.32847682119206,2.47152317880795,1.67152317880795,-2.42847682119205,1.07152317880795,1.17152317880795,0.571523178807947,-3.92847682119205,4.77152317880795,6.67152317880795,NA,-2.62847682119205,NA,-5.02847682119205,-4.72847682119205,5.97152317880795,-0.328476821192055,-2.22847682119205,NA,6.67152317880795,-3.32847682119206,3.67152317880795,2.37152317880795,8.47152317880795,-2.02847682119205,1.17152317880795,-3.62847682119205,5.87152317880795,3.57152317880795,5.57152317880795,4.67152317880795,2.37152317880795,0.571523178807947,3.17152317880795,2.67152317880795,-0.128476821192052,-0.128476821192052,1.07152317880795,0.271523178807946,0.971523178807949,0.171523178807949,-3.02847682119205,2.37152317880795,3.17152317880795,-4.82847682119206,3.67152317880795,1.57152317880795,-0.228476821192054,-0.728476821192054,-1.02847682119205,-2.92847682119205,NA,-3.62847682119205,0.771523178807946,-2.32847682119206,0.171523178807949,-0.228476821192054,-3.72847682119205,-2.62847682119205,-3.72847682119205,-3.02847682119205,1.07152317880795,-3.82847682119206,-0.128476821192052,-0.628476821192052,-5.02847682119205,-4.62847682119205,-4.72847682119205,-3.72847682119205,-4.12847682119205,NA,2.07152317880795,1.27152317880795,-0.128476821192052,-0.628476821192052,1.67152317880795,10.1715231788079,NA,2.37152317880795,NA,-4.32847682119206,-2.82847682119206,NA,-4.12847682119205,NA,-3.32847682119206,-3.62847682119205,-0.928476821192049,-3.72847682119205,-1.02847682119205,-1.52847682119205,1.27152317880795,-4.42847682119205,-1.42847682119205,-4.82847682119206,1.37152317880795,-4.02847682119205,-2.72847682119205,5.67152317880795,-0.828476821192055,4.37152317880795,-1.02847682119205,-1.72847682119205
"931867-H03",-2.7112582781457,2.9887417218543,2.1887417218543,0.088741721854305,1.9887417218543,-4.2112582781457,2.4887417218543,-4.61125827814569,-4.01125827814569,4.1887417218543,3.7887417218543,4.9887417218543,1.1887417218543,NA,2.1887417218543,NA,0.688741721854303,-0.911258278145695,-1.4112582781457,5.38874172185431,1.88874172185431,-1.8112582781457,-2.61125827814569,-0.511258278145696,-1.51125827814569,-0.311258278145697,-4.51125827814569,-3.51125827814569,2.5887417218543,-5.51125827814569,5.2887417218543,0.688741721854303,-0.111258278145694,2.88874172185431,-1.2112582781457,1.0887417218543,2.7887417218543,-3.11125827814569,1.9887417218543,1.88874172185431,2.4887417218543,0.088741721854305,-3.4112582781457,4.0887417218543,-0.0112582781456965,2.1887417218543,-0.911258278145695,8.9887417218543,-5.4112582781457,1.2887417218543,-5.2112582781457,-2.01125827814569,-3.01125827814569,5.38874172185431,-2.3112582781457,1.88874172185431,1.5887417218543,-5.4112582781457,2.7887417218543,0.588741721854305,-3.51125827814569,0.988741721854304,1.7887417218543,0.188741721854303,NA,4.9887417218543,6.5887417218543,-5.2112582781457,-2.8112582781457,NA,-4.9112582781457,-3.51125827814569,5.7887417218543,-1.51125827814569,-3.4112582781457,NA,6.7887417218543,NA,3.6887417218543,2.0887417218543,9.4887417218543,-1.3112582781457,0.388741721854306,-4.11125827814569,6.1887417218543,3.6887417218543,5.6887417218543,4.6887417218543,2.0887417218543,0.788741721854304,3.5887417218543,3.38874172185431,-0.211258278145696,-0.511258278145696,0.388741721854306,-0.411258278145695,-0.0112582781456965,0.288741721854304,-2.4112582781457,1.2887417218543,3.4887417218543,NA,3.88874172185431,1.9887417218543,-0.311258278145697,-1.11125827814569,-1.2112582781457,-2.8112582781457,-2.9112582781457,-4.61125827814569,-0.311258278145697,-2.4112582781457,-0.411258278145695,-0.211258278145696,-3.9112582781457,-4.2112582781457,-5.2112582781457,-3.2112582781457,1.5887417218543,-2.2112582781457,-0.111258278145694,-1.61125827814569,1.0887417218543,-4.2112582781457,0.988741721854304,0.188741721854303,1.2887417218543,-1.8112582781457,1.0887417218543,0.988741721854304,-0.811258278145697,-1.11125827814569,1.2887417218543,9.38874172185431,-5.7112582781457,2.2887417218543,-2.2112582781457,-4.8112582781457,-3.7112582781457,-2.01125827814569,-4.2112582781457,-5.51125827814569,-3.3112582781457,NA,-0.611258278145694,NA,-0.211258278145696,-1.9112582781457,1.5887417218543,-5.3112582781457,-1.7112582781457,-4.2112582781457,1.5887417218543,-3.11125827814569,-1.9112582781457,5.7887417218543,-0.211258278145696,4.4887417218543,-1.61125827814569,-1.3112582781457
"959088-H03",-0.820437956204376,1.77956204379562,2.17956204379562,-0.920437956204378,1.67956204379562,-4.12043795620438,1.27956204379562,-3.62043795620438,NA,2.77956204379562,2.37956204379562,4.37956204379562,-0.520437956204379,-4.22043795620438,2.17956204379562,NA,1.87956204379562,0.17956204379562,-0.320437956204376,5.97956204379562,2.67956204379562,-2.92043795620438,-4.72043795620438,-2.82043795620438,-3.42043795620438,1.07956204379562,-4.62043795620438,-4.72043795620438,3.27956204379562,-4.92043795620438,4.47956204379562,-1.12043795620438,-1.22043795620438,-0.720437956204382,-2.32043795620438,1.47956204379562,2.87956204379562,NA,0.479562043795621,4.37956204379562,2.07956204379562,0.979562043795621,-2.02043795620438,1.37956204379562,-0.720437956204382,1.07956204379562,-2.02043795620438,9.07956204379562,NA,0.37956204379562,NA,-3.52043795620438,-3.82043795620438,4.87956204379562,-1.92043795620438,0.979562043795621,0.479562043795621,NA,3.17956204379562,1.37956204379562,-1.82043795620438,1.87956204379562,-0.62043795620438,-3.02043795620438,NA,3.97956204379562,5.47956204379562,NA,-1.92043795620438,-1.52043795620438,-2.42043795620438,NA,5.37956204379562,NA,-3.22043795620438,-4.62043795620438,6.17956204379562,NA,1.97956204379562,1.77956204379562,9.67956204379562,-3.12043795620438,-0.520437956204379,NA,6.47956204379562,3.87956204379562,6.07956204379562,4.97956204379562,2.57956204379562,-0.220437956204382,4.07956204379562,4.07956204379562,0.17956204379562,-1.52043795620438,0.0795620437956224,-2.52043795620438,-1.22043795620438,-0.520437956204379,-2.12043795620438,1.87956204379562,3.97956204379562,-4.62043795620438,4.57956204379562,1.77956204379562,-1.52043795620438,-1.92043795620438,-3.92043795620438,-4.82043795620438,NA,-3.32043795620438,-0.920437956204378,-3.82043795620438,-3.32043795620438,0.0795620437956224,NA,-4.82043795620438,NA,NA,1.87956204379562,-4.62043795620438,-0.12043795620438,-0.62043795620438,0.579562043795622,-3.92043795620438,1.17956204379562,0.479562043795621,1.97956204379562,-3.52043795620438,0.37956204379562,-0.12043795620438,-3.12043795620438,-2.02043795620438,-0.220437956204382,6.77956204379562,-3.62043795620438,1.47956204379562,-3.22043795620438,NA,NA,-3.92043795620438,-5.02043795620438,NA,-2.62043795620438,NA,-1.02043795620438,NA,-0.420437956204378,-0.62043795620438,1.47956204379562,-3.92043795620438,-1.82043795620438,NA,-0.420437956204378,NA,-3.92043795620438,5.47956204379562,0.479562043795621,3.47956204379562,-3.62043795620438,-1.52043795620438
"949716-H07",-2.77175572519084,2.82824427480916,2.02824427480916,-0.471755725190839,1.72824427480916,NA,2.02824427480916,NA,NA,3.22824427480916,2.92824427480916,4.92824427480916,0.228244274809164,NA,-0.0717557251908403,NA,0.828244274809162,-1.17175572519084,-1.97175572519084,5.62824427480916,2.32824427480916,-2.07175572519084,-4.17175572519084,-1.47175572519084,-0.971755725190839,-1.57175572519084,NA,NA,3.62824427480916,-3.17175572519084,3.32824427480916,-2.47175572519084,-2.87175572519084,1.32824427480916,-0.771755725190836,-0.271755725190836,1.42824427480916,NA,-0.671755725190842,3.02824427480916,1.22824427480916,0.128244274809163,-2.37175572519084,2.32824427480916,-0.771755725190836,1.22824427480916,-0.771755725190836,10.7282442748092,NA,0.328244274809158,NA,-1.37175572519084,-1.27175572519084,5.12824427480916,-2.07175572519084,0.528244274809161,0.628244274809163,NA,2.62824427480916,1.92824427480916,-2.97175572519084,0.42824427480916,-1.27175572519084,-2.47175572519084,NA,3.82824427480916,5.22824427480916,NA,-3.87175572519084,-0.171755725190842,-2.47175572519084,NA,5.82824427480916,-4.17175572519084,-4.17175572519084,-3.97175572519084,6.02824427480916,NA,1.72824427480916,1.62824427480916,8.42824427480916,-2.77175572519084,-1.67175572519084,NA,5.72824427480916,3.02824427480916,4.92824427480916,5.92824427480916,2.52824427480916,1.42824427480916,3.42824427480916,3.12824427480916,-0.971755725190839,-2.47175572519084,-1.07175572519084,-3.37175572519084,-1.57175572519084,-0.371755725190837,-2.07175572519084,1.72824427480916,3.62824427480916,NA,4.32824427480916,1.62824427480916,-1.07175572519084,-3.47175572519084,-2.27175572519084,-4.07175572519084,NA,-3.27175572519084,-3.07175572519084,-3.07175572519084,-3.67175572519084,-1.07175572519084,NA,-4.07175572519084,NA,NA,1.22824427480916,-3.57175572519084,-0.471755725190839,-2.07175572519084,-1.27175572519084,NA,-1.97175572519084,-0.971755725190839,-0.171755725190842,-4.07175572519084,-0.471755725190839,0.72824427480916,-3.47175572519084,-2.07175572519084,-0.371755725190837,8.62824427480916,NA,0.92824427480916,-3.57175572519084,-3.47175572519084,NA,-4.17175572519084,NA,NA,NA,NA,-1.47175572519084,NA,-1.47175572519084,-2.17175572519084,1.52824427480916,-3.47175572519084,-2.67175572519084,-3.37175572519084,-1.07175572519084,NA,-2.77175572519084,6.42824427480916,0.72824427480916,3.72824427480916,NA,-2.77175572519084
"931874-H04",-2.23402777777778,3.46597222222222,2.06597222222222,0.0659722222222214,NA,-3.23402777777778,2.96597222222222,-4.23402777777778,-5.13402777777778,4.16597222222222,4.16597222222222,5.66597222222222,1.46597222222222,NA,0.765972222222221,NA,0.165972222222219,-1.93402777777778,-1.83402777777778,5.06597222222222,1.66597222222222,-3.03402777777778,-1.73402777777778,-0.634027777777778,-1.83402777777778,-3.03402777777778,NA,NA,3.26597222222222,-3.03402777777778,5.06597222222222,0.96597222222222,0.165972222222219,4.56597222222222,-0.834027777777781,0.565972222222221,2.76597222222222,-1.63402777777778,2.56597222222222,3.16597222222222,2.26597222222222,-0.03402777777778,-2.93402777777778,4.96597222222222,0.865972222222222,2.16597222222222,0.665972222222219,10.0659722222222,-3.43402777777778,NA,NA,-2.43402777777778,-1.43402777777778,5.66597222222222,-2.33402777777778,2.56597222222222,2.26597222222222,NA,2.96597222222222,1.96597222222222,-4.13402777777778,1.06597222222222,1.16597222222222,-0.834027777777781,-5.43402777777778,5.66597222222222,7.46597222222222,NA,-3.13402777777778,-4.83402777777778,NA,-5.03402777777778,6.46597222222222,-0.434027777777779,-3.63402777777778,NA,6.76597222222222,NA,3.36597222222222,2.16597222222222,8.46597222222222,-3.13402777777778,1.26597222222222,-1.93402777777778,5.56597222222222,2.96597222222222,NA,5.46597222222222,1.96597222222222,0.96597222222222,3.26597222222222,2.96597222222222,-0.334027777777781,-0.334027777777781,0.46597222222222,0.46597222222222,0.665972222222219,0.265972222222221,-3.03402777777778,1.36597222222222,3.16597222222222,NA,4.16597222222222,1.86597222222222,-0.03402777777778,-0.734027777777779,0.0659722222222214,-4.53402777777778,NA,-2.33402777777778,-0.834027777777781,-3.13402777777778,-1.03402777777778,-0.834027777777781,-3.83402777777778,-3.43402777777778,-3.83402777777778,-3.93402777777778,1.56597222222222,-3.73402777777778,-0.53402777777778,-0.434027777777779,-0.634027777777778,NA,-0.634027777777778,-1.93402777777778,-0.934027777777779,-5.73402777777778,1.86597222222222,NA,0.865972222222222,-0.834027777777781,1.36597222222222,10.6659722222222,-5.13402777777778,2.66597222222222,-4.03402777777778,-2.73402777777778,-5.03402777777778,NA,-3.83402777777778,-4.83402777777778,-3.03402777777778,-3.33402777777778,-0.134027777777778,-4.83402777777778,-0.934027777777779,-0.434027777777779,NA,-2.83402777777778,-1.23402777777778,-4.63402777777778,1.66597222222222,-4.03402777777778,-0.734027777777779,5.66597222222222,0.0659722222222214,4.96597222222222,-3.83402777777778,-2.13402777777778
